"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"SPPI","Spectrum Pharmaceuticals, Inc.","3.27","$380.85M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/sppi",
"SPRO","Spero Therapeutics, Inc.","12.38","$254.97M","2017","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/spro",
"ANY","Sphere 3D Corp.","2.93","$16.2M","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/any",
"SPI","SPI Energy Co., Ltd.","1.53","$22.7M","n/a","Technology","Semiconductors","https://old.nasdaq.com/symbol/spi",
"SAVE","Spirit Airlines, Inc.","16.84","$1.49B","n/a","Transportation","Air Freight/Delivery Services","https://old.nasdaq.com/symbol/save",
"STXB","Spirit of Texas Bancshares, Inc.","11.59","$201.3M","2018","Finance","Major Banks","https://old.nasdaq.com/symbol/stxb",
"SPLK","Splunk Inc.","201.93","$32.08B","2012","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/splk",
"SPOK","Spok Holdings, Inc.","9.59","$182.44M","n/a","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/spok",
"SPWH","Sportsman&#39;s Warehouse Holdings, Inc.","16.16","$702.23M","2014","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/spwh",
"SBPH","Spring Bank Pharmaceuticals, Inc.","1.73","$29.57M","2016","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/sbph",
"SWTX","SpringWorks Therapeutics, Inc.","36.86","$1.59B","2019","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/swtx",
"FUND","Sprott Focus Trust, Inc.","6.16","$177.69M","n/a","Consumer Services","Miscellaneous","https://old.nasdaq.com/symbol/fund",
"SPT","Sprout Social, Inc","29.74","$1.5B","2019","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/spt",
"SFM","Sprouts Farmers Market, Inc.","27.04","$3.18B","2013","Consumer Services","Food Chains","https://old.nasdaq.com/symbol/sfm",
"SPSC","SPS Commerce, Inc.","73.22","$2.56B","2010","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/spsc",
"SRAX","SRAX, Inc.","2.56","$35.93M","n/a","Technology","Advertising","https://old.nasdaq.com/symbol/srax",
"SSNC","SS&C Technologies Holdings, Inc.","56.59","$14.52B","2010","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/ssnc",
"SSRM","SSR Mining Inc.","22.825","$2.81B","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/ssrm",
"STAA","STAAR Surgical Company","55.79","$2.54B","n/a","Health Care","Ophthalmic Goods","https://old.nasdaq.com/symbol/staa",
"SRAC","Stable Road Acquisition Corp.","10.02","$221.52M","2019","Finance","Business Services","https://old.nasdaq.com/symbol/srac",
"SRACU","Stable Road Acquisition Corp.","10.3","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/sracu",
"SRACW","Stable Road Acquisition Corp.","0.7977","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/sracw",
"STAF","Staffing 360 Solutions, Inc.","0.8202","$7.65M","n/a","Technology","Professional Services","https://old.nasdaq.com/symbol/staf",
"STMP","Stamps.com Inc.","221.98","$3.79B","1999","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/stmp",
"STND","Standard AVB Financial Corp.","21.31","$99.3M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/stnd",
"SBLK","Star Bulk Carriers Corp.","6.09","$585.05M","n/a","Transportation","Marine Transportation","https://old.nasdaq.com/symbol/sblk",
"SBLKZ","Star Bulk Carriers Corp.","25.0793","n/a","n/a","Transportation","Marine Transportation","https://old.nasdaq.com/symbol/sblkz",
"SBUX","Starbucks Corporation","75.36","$88.04B","1992","Consumer Services","Restaurants","https://old.nasdaq.com/symbol/sbux",
"STFC","State Auto Financial Corporation","16.47","$720.91M","1991","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/stfc",
"MITO","Stealth BioTherapeutics Corp.","1.9899","$98.13M","2019","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/mito",
"GASS","StealthGas, Inc.","2.54","$99.63M","2005","Transportation","Marine Transportation","https://old.nasdaq.com/symbol/gass",
"STCN","Steel Connect, Inc.","0.56","$34.93M","n/a","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/stcn",
"STLD","Steel Dynamics, Inc.","27.56","$5.8B","1996","Basic Industries","Steel/Iron Ore","https://old.nasdaq.com/symbol/stld",
"SMRT","Stein Mart, Inc.","0.347","$16.83M","1992","Consumer Services","Clothing/Shoe/Accessory Stores","https://old.nasdaq.com/symbol/smrt",
"SRCL","Stericycle, Inc.","61.77","$5.65B","1996","Basic Industries","Environmental Services","https://old.nasdaq.com/symbol/srcl",
"SBT","Sterling Bancorp, Inc.","3.22","$161.65M","2017","Finance","Savings Institutions","https://old.nasdaq.com/symbol/sbt",
"STRL","Sterling Construction Company Inc","10.07","$281.73M","n/a","Basic Industries","Military/Government/Technical","https://old.nasdaq.com/symbol/strl",
"SHOO","Steven Madden, Ltd.","23","$1.91B","1993","Consumer Non-Durables","Shoe Manufacturing","https://old.nasdaq.com/symbol/shoo",
"SFIX","Stitch Fix, Inc.","23.6","$2.42B","2017","Consumer Services","Catalog/Specialty Distribution","https://old.nasdaq.com/symbol/sfix",
"SYBT","Stock Yards Bancorp, Inc.","40.61","$920.4M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/sybt",
"STOK","Stoke Therapeutics, Inc.","29.27","$972.27M","2019","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/stok",
"BANX","StoneCastle Financial Corp","16.555","$108.63M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/banx",
"STNE","StoneCo Ltd.","43.01","$11.92B","2018","Technology","EDP Services","https://old.nasdaq.com/symbol/stne",
"SNEX","StoneX Group Inc.","56.09","$1.08B","n/a","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/snex",
"SSKN","Strata Skin Sciences, Inc.","1.22","$41.13M","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/sskn",
"SSYS","Stratasys, Ltd.","15.66","$858.15M","1994","Technology","Computer peripheral equipment","https://old.nasdaq.com/symbol/ssys",
"STRA","Strategic Education, Inc.","166.92","$3.71B","1996","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/stra",
"HNDL","Strategy Shares Nasdaq 7HANDL Index ETF","24.66","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/hndl",
"STRT","Strattec Security Corporation","20.85","$79.62M","n/a","Capital Goods","Auto Parts:O.E.M.","https://old.nasdaq.com/symbol/strt",
"STRS","Stratus Properties Inc.","18.42","$151.23M","n/a","Consumer Services","Homebuilding","https://old.nasdaq.com/symbol/strs",
"STRM","Streamline Health Solutions, Inc.","1.24","$38.75M","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/strm",
